asset,group,driver,lookback,horizon,tradeable,n,ic,nw_t,p_null,hit,ic_h1,ic_h2,stable,qspread_bp
NZDUSD,fx,y30,1,0,0,5204,0.0014333507593058965,2.2941398704367693,,0.4488854727132975,0.08480518662622731,-0.09847292990683298,0,
NZDUSD,fx,y30,1,1,1,5202,-0.004230049003841234,0.28723707812527055,,0.4357939254133026,0.0008020573814683708,-0.009974620328668292,0,-0.46921953964585
NZDUSD,fx,y30,1,5,1,5198,-0.008285098611331183,-0.47035229528814687,,0.4447864563293574,0.007571623775397357,-0.02821738530379552,0,0.04691527906262567
NZDUSD,fx,y30,1,21,1,5182,-0.0071058923347318455,-0.8563359709210475,,0.4392126592049402,-0.008385963424848883,-0.0026158339734247576,0,-3.8795654608268926
NZDUSD,fx,y30,5,0,0,5200,0.023018781490895333,1.941749585802926,,0.47673076923076924,0.14350608194688663,-0.11747199247604737,0,
NZDUSD,fx,y30,5,1,1,5198,-0.004925097450814684,-0.47441653586610466,,0.474028472489419,0.008871030184860768,-0.022659227823356585,0,4.204409538267561
NZDUSD,fx,y30,5,5,1,5194,-0.04118793304184828,-1.770718573353129,0.082,0.49383904505198306,-0.017810064237316764,-0.0701205147712442,0,23.817845532793747
NZDUSD,fx,y30,5,21,1,5178,-0.01627074605846985,-0.779760012543077,,0.47991502510621864,-0.017315993691010393,-0.012988873651378838,0,7.504711151595129
NZDUSD,fx,y30,21,0,0,5184,-0.029283067444936486,-0.16359321025193596,0.512,0.5057870370370371,0.08310046042873487,-0.13627203206080465,0,
NZDUSD,fx,y30,21,1,1,5182,-0.012368342516223468,-0.7935163421052188,,0.48745658047086066,-0.017026542032725626,-0.0038393004700692764,0,3.3548350891504155
NZDUSD,fx,y30,21,5,1,5178,-0.01953579691767956,-0.8118397442072648,,0.4818462726921591,-0.031737550997725,-0.0011968179170268021,0,11.866918191814586
NZDUSD,fx,y30,21,21,1,5162,0.012022999945818706,0.6601930014147375,,0.48624564122433167,-0.027163467712556743,0.0699879497169443,0,-32.658795608683654
NZDUSD,fx,slope,1,0,0,5204,0.04022590701686896,3.4969695760917183,0.0025,0.41372021521906227,0.06603660919466856,0.009306473317836685,0,
NZDUSD,fx,slope,1,1,1,5202,0.001750489740508548,-0.0518465837470542,,0.4271434063821607,-0.007265805010268619,0.012469038159489285,0,2.705574360606158
NZDUSD,fx,slope,1,5,1,5198,-0.008239827149403422,-0.8593628170089952,,0.43766833397460564,-0.008247871728095539,-0.009032644630959784,0,1.209792711874349
NZDUSD,fx,slope,1,21,1,5182,-0.0006376711806462588,-1.2632516137605279,,0.42628328830567347,-0.002060296294452824,-0.0020386791846858324,0,17.69738326662441
