asset,group,driver,lookback,horizon,tradeable,base_rate,hit_raw,chance_agree,p_up_yields_fell,p_up_yields_rose,spread,p_null,spread_h1,spread_h2,n,stable
USDJPY,fx,y2,21,0,0,0.5278637770897833,0.2838622291021672,0.49796197605651354,0.3227557411273486,0.7254358161648178,-0.40268007503746917,0.0,-0.4284155886957238,-0.3641749066437145,5168,1
USDJPY,fx,y2,21,1,1,0.5205187766163376,0.4746418892760356,0.4984906823240015,0.5211032177183452,0.5202060221870047,0.0008971955313404889,0.943,-0.0015714474205040796,0.008679368181078062,5166,0
USDJPY,fx,y2,21,5,1,0.5290585044556374,0.4722975590856257,0.49786086174096433,0.5261396905060645,0.5301348136399683,-0.003995123133903822,0.8625,0.019278987542543702,-0.013493487777687108,5162,0
USDJPY,fx,y2,21,21,1,0.5264282938204431,0.4815390594636611,0.4981100637143562,0.529510255336961,0.5159489633173844,0.013561292019576676,0.732,0.03631950793782729,0.011999682381481747,5146,0
USDJPY,fx,y10,1,0,0,0.520431765612953,0.3353893600616808,0.4979127147696868,0.4018892228424216,0.6399113082039911,-0.2380220853615695,0.0,-0.19604976077122382,-0.27965866529539124,5188,1
USDJPY,fx,y10,1,1,1,0.5204396451986116,0.4446586964905515,0.4979189871452243,0.5285530270502361,0.5221827861579414,0.006370240892294654,0.663,-0.0023380569204111135,0.017036163731541487,5186,0
USDJPY,fx,y10,1,5,1,0.5287533770744887,0.4423002701659591,0.4970702850066905,0.5294370434035238,0.5275310834813499,0.0019059599221739054,0.9045,-0.00787075393537695,0.01506539235412474,5182,0
USDJPY,fx,y10,1,21,1,0.5276809910956253,0.4326364692218351,0.4971600996359502,0.5146678170836928,0.5351736420302761,-0.020505824946583262,0.1555,-0.032466717655775745,-0.00306346356615661,5166,0
USDJPY,fx,y10,5,0,0,0.5289351851851852,0.2957175925925926,0.4993860203760859,0.3401655498620418,0.7211221122112211,-0.38095656234917935,0.0,-0.3976390159056386,-0.35937673900946016,5184,1
USDJPY,fx,y10,5,1,1,0.5204554226167503,0.4781937475878039,0.4995736808871847,0.5206937327552227,0.5194054500412882,0.001288282713934441,0.924,0.0043047766238530905,0.0012264737503824286,5182,0
