date,side,level,touch_ts,touch_close,fwd_ret_15m,outcome_15m,fwd_ret_60m,outcome_60m,fwd_ret_240m,outcome_240m,outcome_1440m,fwd_ret_1440m
2026-04-07,call,0.8,2026-04-07 14:35:00,0.79965,-0.00021259300944165282,reject,0.0006377790283249585,break,-0.0010879759894952823,reject,,
2026-04-07,call,0.8,2026-04-07 14:55:00,0.80002,0.0010499737506564077,break,-0.0002874928126795906,reject,-0.0006749831254218019,reject,,
2026-06-05,call,0.7968127490039841,2026-06-05 17:49:00,0.79659,0.0001380886026687289,reject,-0.00043937282667383393,reject,,,,
2026-06-05,call,0.7968127490039841,2026-06-05 18:44:00,0.79652,-0.0003766383769396864,reject,-0.0004770752774569953,reject,,,,
2026-06-08,call,0.7968127490039841,2026-06-08 01:24:00,0.79662,0.0009163716703071145,break,0.000928924706886658,break,-0.00032637895106835124,reject,,
2026-06-08,call,0.7968127490039841,2026-06-08 05:31:00,0.79678,0.0004141670222645999,break,0.0006526268229622989,break,0.0023343959436732398,break,,
2026-06-08,call,0.7968127490039841,2026-06-08 14:05:00,0.79665,0.0009414422895877017,break,0.0002133935856398761,break,0.0007531538316700725,break,,
2026-06-09,call,0.7968127490039841,2026-06-09 06:00:00,0.79666,-0.0006150679085180633,reject,-0.000577410689629243,reject,-0.00037657218888875743,reject,,
2026-06-09,call,0.7968127490039841,2026-06-09 06:41:00,0.79664,-0.00018829082145011,reject,0.0003138180357500353,break,-0.0005397670214902783,reject,,
2026-06-09,call,0.7968127490039841,2026-06-09 07:06:00,0.79684,-0.00016314442046072575,reject,0.0005396315446011268,break,-0.0012549570804678556,reject,,
2026-06-09,call,0.7968127490039841,2026-06-09 14:16:00,0.79665,8.786794702819734e-05,reject,7.531538316718489e-05,reject,0.001343124333144985,break,,
2026-06-12,call,0.7968127490039841,2026-06-12 05:50:00,0.79664,-0.000489556135770286,reject,-1.2552721430081348e-05,reject,-0.0013054830287206887,reject,,
2026-06-12,call,0.7968127490039841,2026-06-12 06:37:00,0.79654,5.021718934372643e-05,reject,0.000853692218846458,break,-0.001117332462902132,reject,,
2026-06-12,call,0.7968127490039841,2026-06-12 07:11:00,0.79656,0.00025107964246262604,reject,-0.00030129557095515125,reject,-7.532389273889883e-05,reject,,
2026-06-12,call,0.7968127490039841,2026-06-12 12:07:00,0.79664,0.0004644506929101233,break,7.5316328580044e-05,reject,6.276360714996265e-05,reject,,
2026-06-12,call,0.7968127490039841,2026-06-12 13:40:00,0.79708,7.527475284785368e-05,break,-0.00043910272494596114,reject,-0.000715110152054943,reject,,
2026-06-12,call,0.7968127490039841,2026-06-12 14:59:00,0.79654,-0.0003013031360634688,reject,-0.00012554297335976017,reject,0.00020086875737557186,reject,,
2026-06-12,call,0.7968127490039841,2026-06-12 16:03:00,0.79659,-0.00026362369600430036,reject,-0.00011298158400185887,reject,0.0002636236960040783,reject,,
2026-06-12,call,0.7968127490039841,2026-06-12 16:24:00,0.79663,-0.00011297591102510385,reject,-0.0003389277330755336,reject,0.00013808166903084285,reject,,
2026-06-12,call,0.7968127490039841,2026-06-12 17:55:00,0.79666,0.00012552406296295615,reject,-0.00032636256370355277,reject,,,,
