date,side,level,touch_ts,touch_close,fwd_ret_15m,outcome_15m,fwd_ret_60m,outcome_60m,fwd_ret_240m,outcome_240m,outcome_1440m,fwd_ret_1440m,kind,k,pair
2023-03-20,call,0.6725,2023-03-20 01:24:00,0.67244,-0.0033311522217596146,reject,-0.0027957884718339265,reject,-0.005576705728392195,reject,,,offgrid,0.5,AUD_USD
2023-03-20,call,0.6725,2023-03-20 13:51:00,0.67228,-0.00046111739156307063,reject,-0.0008032367465936607,reject,-0.0012792288927232498,reject,,,offgrid,0.5,AUD_USD
2023-03-20,call,0.6725,2023-03-20 14:00:00,0.6726,-0.001575973832887212,reject,-0.0012786202795123103,reject,-0.0016503122212309096,reject,,,offgrid,0.5,AUD_USD
2023-03-20,call,0.6725,2023-03-20 17:10:00,0.67235,-7.436602959765004e-05,reject,-0.0012790957090800248,reject,-0.0007882799137354235,reject,,,offgrid,0.5,AUD_USD
2023-03-21,call,0.6725,2023-03-21 00:23:00,0.6725,-0.002408921933085395,reject,-0.004297397769516653,reject,-0.005323420074349494,reject,,,offgrid,0.5,AUD_USD
2023-03-22,call,0.6725,2023-03-22 18:05:00,0.6722,-0.0008330853912525971,reject,-0.0022166022017257037,reject,-0.004671228800952165,reject,,,offgrid,0.5,AUD_USD
2023-03-22,call,0.6725,2023-03-22 18:27:00,0.67268,0.003181304632217552,break,-0.0011595409407145763,reject,-0.004980079681274896,reject,,,offgrid,0.5,AUD_USD
2023-03-22,call,0.6725,2023-03-22 18:31:00,0.67236,0.004104943780117942,break,-0.0014426795169253381,reject,-0.004372657504908006,reject,,,offgrid,0.5,AUD_USD
2023-03-22,call,0.6725,2023-03-22 18:37:00,0.67329,0.002510062528776613,break,-0.003906191982652407,reject,-0.00607464836845939,reject,,,offgrid,0.5,AUD_USD
2023-03-22,call,0.6725,2023-03-22 19:23:00,0.67196,-0.0022173938924935355,reject,-0.005833680576224798,reject,-0.003735341389368485,reject,,,offgrid,0.5,AUD_USD
2023-03-22,call,0.6725,2023-03-22 19:28:00,0.67226,-0.0020527771992977506,reject,-0.00632195876595365,reject,-0.0042245559753666395,reject,,,offgrid,0.5,AUD_USD
2023-03-23,call,0.6725,2023-03-23 02:24:00,0.67235,0.00040157655982753226,break,0.0008180263255745945,break,0.0021268684464936793,break,,,offgrid,0.5,AUD_USD
2023-03-23,call,0.6725,2023-03-23 12:16:00,0.67224,-0.0005206473878376361,reject,-0.003585029156253583,reject,0.00013388075687270629,reject,,,offgrid,0.5,AUD_USD
2023-03-23,call,0.6725,2023-03-23 14:54:00,0.67214,-0.0006546255244442856,reject,-0.0006695033772725623,reject,-0.005951141131311899,reject,,,offgrid,0.5,AUD_USD
2023-03-23,call,0.6725,2023-03-23 15:22:00,0.6723,-0.00010412018444150295,reject,0.0,reject,-0.007288412910902875,reject,,,offgrid,0.5,AUD_USD
2023-03-23,call,0.6725,2023-03-23 15:39:00,0.67215,-0.0006843710481291287,reject,-0.0001338986833296918,reject,-0.005787398646135644,reject,,,offgrid,0.5,AUD_USD
2023-03-23,call,0.6725,2023-03-23 16:16:00,0.67233,-0.00023797837371519748,reject,-0.0021864263085091817,reject,-0.006172564068240294,reject,,,offgrid,0.5,AUD_USD
2023-07-12,call,0.6725,2023-07-12 01:15:00,0.67233,-0.001591480374220966,reject,0.00016361013192933704,reject,-7.436824178597146e-05,reject,,,offgrid,0.5,AUD_USD
2023-07-12,call,0.6725,2023-07-12 01:23:00,0.67232,-0.0009519276534982746,reject,0.0014873869585911859,break,-0.0017104950023797416,reject,,,offgrid,0.5,AUD_USD
2023-07-12,call,0.6725,2023-07-12 01:44:00,0.67233,-5.949459342868835e-05,reject,0.0019930688798655005,break,-0.0016212276709354212,reject,,,offgrid,0.5,AUD_USD
2023-07-12,call,0.6725,2023-07-12 01:55:00,0.6723,-0.0004164807377660118,reject,0.0018146660716942264,break,-0.00196340919232485,reject,,,offgrid,0.5,AUD_USD
2023-07-12,call,0.6725,2023-07-12 02:14:00,0.67231,0.0017700168077225964,break,0.0012642977198018546,break,-0.0016361499903317922,reject,,,offgrid,0.5,AUD_USD
2023-07-12,call,0.6725,2023-07-12 04:03:00,0.67236,2.9745969421179907e-05,reject,-0.0003272056636325349,reject,-0.0055030043429113995,reject,,,offgrid,0.5,AUD_USD
2023-07-12,call,0.6725,2023-07-12 05:15:00,0.67228,-0.0019337180936513931,reject,-0.0015172249657880998,reject,-0.005340036889391331,reject,,,offgrid,0.5,AUD_USD
2023-07-12,call,0.6725,2023-07-12 12:30:00,0.67364,0.0006531678641410466,break,0.004097143875066767,break,0.008045840508283275,break,,,offgrid,0.5,AUD_USD
2024-03-07,call,0.6625,2024-03-07 16:28:00,0.66242,-0.0006491349898856136,reject,-0.0012831738172156548,reject,-0.0007699042903294151,reject,,,offgrid,0.5,AUD_USD
2024-03-08,call,0.6625,2024-03-08 02:32:00,0.66229,-0.0005133702758610692,reject,0.0004982711501002601,break,0.0014193178214980673,break,,,offgrid,0.5,AUD_USD
