zlb,cls,h,outcome,pred,demean,t,r,n_dates,mde_r,abs_t
126,all,10,ret,cvol_z,False,-0.35331285536162677,-0.022251107425006536,254,0.17568762543868438,0.35331285536162677
126,all,21,rng,cvol_chg5,True,-0.3518336372189097,-0.03157983448734073,126,0.2494438257849294,0.3518336372189097
252,all,21,rng,cvol_chg5,True,-0.3518336372189097,-0.03157983448734073,126,0.2494438257849294,0.3518336372189097
252,all,21,rng,skew_ratio,True,-0.33737503294734583,-0.030162011036764278,127,0.24845982263651187,0.33737503294734583
126,all,21,rng,skew_ratio,True,-0.33737503294734583,-0.030162011036764278,127,0.24845982263651187,0.33737503294734583
126,all,21,rng,updn,True,-0.33732544797244723,-0.030157582071629687,127,0.24845982263651187,0.33732544797244723
252,all,21,rng,updn,True,-0.33732544797244723,-0.030157582071629687,127,0.24845982263651187,0.33732544797244723
126,all,10,rng,vrp_trail20,True,-0.3363797580404504,-0.02073760393727858,265,0.17200263271350633,0.3363797580404504
252,all,10,rng,vrp_trail20,True,-0.3363797580404504,-0.02073760393727858,265,0.17200263271350633,0.3363797580404504
126,all,21,rng,cvol_z,False,-0.3349772743426488,-0.030692849056006968,121,0.2545454545454545,0.3349772743426488
126,gold,5,ret,cvol_z,False,-0.3231545734725638,-0.014350320639094898,509,0.12410781800982214,0.3231545734725638
126,gold,21,rng,cvol_z,False,-0.3136464791298919,-0.02874004874131839,121,0.2545454545454545,0.3136464791298919
126,all,1,ret,cvol_z,True,-0.27533508247368693,-0.005454505439256845,2550,0.05544826240669376,0.27533508247368693
252,FX,5,ret,vrp_trail20,False,-0.25955677348849393,-0.011284358582807517,531,0.12150965024876893,0.25955677348849393
126,FX,5,ret,vrp_trail20,False,-0.25955677348849393,-0.011284358582807517,531,0.12150965024876893,0.25955677348849393
252,FX,21,rng,skew_ratio,True,-0.25575599321172376,-0.022869528554925952,127,0.24845982263651187,0.25575599321172376
126,FX,21,rng,skew_ratio,True,-0.25575599321172376,-0.022869528554925952,127,0.24845982263651187,0.25575599321172376
252,FX,21,rng,updn,True,-0.25572303524195394,-0.02286658301655001,127,0.24845982263651187,0.25572303524195394
126,FX,21,rng,updn,True,-0.25572303524195394,-0.02286658301655001,127,0.24845982263651187,0.25572303524195394
252,all,10,ret,cvol_z,False,-0.24823074510538884,-0.016054642643869334,241,0.18036385539223262,0.24823074510538884
126,all,5,rng,cvol_z,True,-0.22499592847082156,-0.009982082731644654,510,0.12398608397561334,0.22499592847082156
252,gold,10,rng,cvol_z,False,-0.2015271474356023,-0.013034600067196056,241,0.18036385539223262,0.2015271474356023
252,all,21,ret,cvol_z,False,-0.1943462088886615,-0.018279498717208943,115,0.2611013463072879,0.1943462088886615
252,FX,21,rng,skew_ratio,False,-0.1942001571840897,-0.01736717038468687,127,0.24845982263651187,0.1942001571840897
126,FX,21,rng,skew_ratio,False,-0.1942001571840897,-0.01736717038468687,127,0.24845982263651187,0.1942001571840897
126,FX,21,rng,updn,False,-0.194098434241726,-0.017358076122021282,127,0.24845982263651187,0.194098434241726
252,FX,21,rng,updn,False,-0.194098434241726,-0.017358076122021282,127,0.24845982263651187,0.194098434241726
126,FX,10,rng,skew_ratio,False,-0.1920498090467671,-0.011796705074936947,267,0.17135721718138927,0.1920498090467671
252,FX,10,rng,skew_ratio,False,-0.1920498090467671,-0.011796705074936947,267,0.17135721718138927,0.1920498090467671
126,FX,10,rng,updn,False,-0.19196740481517802,-0.011791644079409547,267,0.17135721718138927,0.19196740481517802
252,FX,10,rng,updn,False,-0.19196740481517802,-0.011791644079409547,267,0.17135721718138927,0.19196740481517802
252,all,10,rng,convexity,True,-0.18506948506708334,-0.011367993473816573,267,0.17135721718138927,0.18506948506708334
126,all,10,rng,convexity,True,-0.18506948506708334,-0.011367993473816573,267,0.17135721718138927,0.18506948506708334
126,FX,21,rng,convexity,True,-0.18053076636752677,-0.01614505800485685,127,0.24845982263651187,0.18053076636752677
252,FX,21,rng,convexity,True,-0.18053076636752677,-0.01614505800485685,127,0.24845982263651187,0.18053076636752677
252,FX,10,ret,skew_ratio,False,-0.17934699816737923,-0.011016529953752126,267,0.17135721718138927,0.17934699816737923
126,FX,10,ret,skew_ratio,False,-0.17934699816737923,-0.011016529953752126,267,0.17135721718138927,0.17934699816737923
126,FX,10,ret,updn,False,-0.1792860922759462,-0.011012789215440867,267,0.17135721718138927,0.1792860922759462
252,FX,10,ret,updn,False,-0.1792860922759462,-0.011012789215440867,267,0.17135721718138927,0.1792860922759462
126,FX,10,ret,cvol_z,False,-0.15559145045452846,-0.009800869340801396,254,0.17568762543868438,0.15559145045452846
126,gold,10,ret,cvol_chg5,False,-0.1549112512247913,-0.009533695146650967,266,0.17167901505579042,0.1549112512247913
252,gold,10,ret,cvol_chg5,False,-0.1549112512247913,-0.009533695146650967,266,0.17167901505579042,0.1549112512247913
252,gold,21,ret,updn,False,-0.1375932480068892,-0.012305782379358709,127,0.24845982263651187,0.1375932480068892
126,gold,21,ret,updn,False,-0.1375932480068892,-0.012305782379358709,127,0.24845982263651187,0.1375932480068892
126,gold,21,ret,skew_ratio,False,-0.13746156963618938,-0.012294007380455978,127,0.24845982263651187,0.13746156963618938
252,gold,21,ret,skew_ratio,False,-0.13746156963618938,-0.012294007380455978,127,0.24845982263651187,0.13746156963618938
252,all,10,rng,vrp_trail20,False,-0.1317464153249015,-0.00812356393041242,265,0.17200263271350633,0.1317464153249015
126,all,10,rng,vrp_trail20,False,-0.1317464153249015,-0.00812356393041242,265,0.17200263271350633,0.1317464153249015
126,gold,21,rng,skew,False,-0.11662939057299296,-0.010431082283632858,127,0.24845982263651187,0.11662939057299296
252,gold,21,rng,skew,False,-0.11662939057299296,-0.010431082283632858,127,0.24845982263651187,0.11662939057299296
126,FX,5,ret,skew_ratio,False,-0.10417100203202001,-0.004512101039427793,535,0.12105455632679274,0.10417100203202001
252,FX,5,ret,skew_ratio,False,-0.10417100203202001,-0.004512101039427793,535,0.12105455632679274,0.10417100203202001
126,FX,5,ret,updn,False,-0.10416278528283573,-0.004511745143380972,535,0.12105455632679274,0.10416278528283573
252,FX,5,ret,updn,False,-0.10416278528283573,-0.004511745143380972,535,0.12105455632679274,0.10416278528283573
126,FX,21,ret,skew_ratio,False,-0.09589667462137383,-0.008576943836375413,127,0.24845982263651187,0.09589667462137383
252,FX,21,ret,skew_ratio,False,-0.09589667462137383,-0.008576943836375413,127,0.24845982263651187,0.09589667462137383
126,FX,21,ret,updn,False,-0.09581618057045592,-0.008569745023356183,127,0.24845982263651187,0.09581618057045592
252,FX,21,ret,updn,False,-0.09581618057045592,-0.008569745023356183,127,0.24845982263651187,0.09581618057045592
126,FX,10,ret,vrp_trail20,False,-0.09531766364890987,-0.005877437413000136,265,0.17200263271350633,0.09531766364890987
