position_id,bot,magic,account,ticket,symbol,direction,lots,open_price,close_price,pnl,swap,commission,net,result,time_open,time_close,session,day_of_week,comment,eng_regime,eng_conf,eng_score,eng_vol_z,eng_run_len,eng_decay,eng_bocpd,eng_consensus,eng_slope,eng_1h_regime,eng_exhaustion,eng_exit_type,eng_sig,eng_grade,eng_stars,eng_rr,eng_dist_pips,eng_vu_signal,eng_vu_mf,eng_vu_vwap,eng_vu_conf,eng_htf_bias,eng_zone_score,eng_composition,eng_close_reason
152127224694,RegimeV1,20260002,10011043879,152127224694,GBPJPY,BUY,4.93,214.541,214.328,-489.95,0.0,0.0,-489.95,LOSS,2026-05-29T18:26:21+00:00,2026-05-29T20:43:41+00:00,NY_CLOSE,Friday,RegimeBot L,BEAR,100.0,,-1.35,73,0.082,,,,,,regime_shift,,,,,,,,,,,,,
152127359551,RegimeV1,20260002,10011043879,152127359551,XAUUSD,SELL,0.48,4562.99,4534.55,1015.05,-1.64,0.0,1013.41,WIN,2026-05-29T18:43:47+00:00,2026-06-01T01:14:02+00:00,ASIA,Monday,RegimeBot S,BULL,99.0,,-0.11,66,0.0,,,,,,regime_shift,,,,,,,,,,,,,
152129011184,RegimeV1,20260002,10011043879,152129011184,XAUUSD,SELL,1.61,4534.08,4503.55,3651.51,0.0,0.0,3651.51,WIN,2026-06-01T04:23:13+00:00,2026-06-01T11:00:00+00:00,LONDON,Monday,RegimeBot S,BEAR,99.0,,0.82,77,0.012,,,,,,regime_shift,,,,,,,,,,,,,
152130530536,RegimeV1,20260002,10011043879,152130530536,XAUUSD,SELL,1.86,4500.09,4499.99,13.81,0.0,0.0,13.81,WIN,2026-06-01T11:01:21+00:00,2026-06-01T11:43:33+00:00,LONDON,Monday,RegimeBot S,BEAR,97.0,,0.51,18,0.054,,,,,,regime_shift,,,,,,,,,,,,,
152130789355,RegimeV1,20260002,10011043879,152130789355,XAUUSD,BUY,1.81,4500.12,4500.1,-2.69,0.0,0.0,-2.69,LOSS,2026-06-01T11:52:01+00:00,2026-06-01T12:23:32+00:00,NY,Monday,RegimeBot L,BULL,100.0,,0.24,20,0.002,,,,,,regime_shift,,,,,,,,,,,,,
152131150964,RegimeV1,20260002,10011043879,152131150964,EURUSD,BUY,5.0,1.16507,1.16468,-144.86,0.0,0.0,-144.86,LOSS,2026-06-01T13:11:10+00:00,2026-06-01T13:56:23+00:00,NY,Monday,RegimeBot L,BEAR,83.0,,-2.79,2,0.0,,,,,,regime_shift,,,,,,,,,,,,,
152131581216,RegimeV1,20260002,10011043879,152131581216,XAUUSD,BUY,2.08,4507.18,4501.94,-809.53,0.0,0.0,-809.53,LOSS,2026-06-01T14:43:18+00:00,2026-06-01T15:18:25+00:00,NY,Monday,RegimeBot L,BULL,98.0,,1.62,2,0.0,,,,,,regime_shift,,,,,,,,,,,,,
152131770659,RegimeV1,20260002,10011043879,152131770659,XAUUSD,SELL,1.97,4501.13,4506.65,-807.58,0.0,0.0,-807.58,LOSS,2026-06-01T15:23:48+00:00,2026-06-01T15:26:30+00:00,NY,Monday,RegimeBot S,BULL,92.0,,2.05,8,0.141,,,,,,regime_shift,,,,,,,,,,,,,
152131808818,RegimeV1,20260002,10011043879,152131808818,XAUUSD,SELL,2.22,4503.64,4508.41,-786.3,0.0,0.0,-786.3,LOSS,2026-06-01T15:30:09+00:00,2026-06-01T15:44:57+00:00,NY,Monday,RegimeBot S,BEAR,100.0,,2.21,8,0.247,,,,,,regime_shift,,,,,,,,,,,,,
152132521708,RegimeV1,20260002,10011043879,152132521708,XAUUSD,SELL,1.3,4468.88,4477.06,-790.69,0.0,0.0,-790.69,LOSS,2026-06-01T16:42:53+00:00,2026-06-01T18:34:01+00:00,NY_CLOSE,Monday,RegimeBot S,BEAR,100.0,,-0.19,115,0.002,,,,,,regime_shift,,,,,,,,,,,,,
