instrument,date,regime,hl_75_pct,oc_med_pct,side,filled,outcome,pnl_pct,open,high,low,close
EURUSD,2021-02-03 00:00:00+00:00,BEAR,0.5703,0.1991,,False,no_fill,0.0,1.2037,1.20502,1.20042,1.20416
EURUSD,2021-02-04 00:00:00+00:00,BEAR,0.5532,0.1931,BUY,True,win,0.36011,1.20417,1.20429,1.19574,1.19663
EURUSD,2021-02-05 00:00:00+00:00,BEAR,0.6057,0.2114,,False,no_fill,0.0,1.19661,1.20502,1.19524,1.20466
EURUSD,2021-02-07 00:00:00+00:00,BEAR,0.6595,0.2302,,False,no_fill,0.0,1.20382,1.20554,1.20371,1.20486
EURUSD,2021-02-08 00:00:00+00:00,BEAR,0.6395,0.2232,,False,no_fill,0.0,1.20489,1.20661,1.20198,1.20524
EURUSD,2021-02-09 00:00:00+00:00,BEAR,0.6201,0.2165,,False,no_fill,0.0,1.20523,1.2122,1.20494,1.21162
EURUSD,2021-02-10 00:00:00+00:00,BEAR,0.6462,0.2256,,False,no_fill,0.0,1.21164,1.2144,1.21088,1.2119
EURUSD,2021-02-11 00:00:00+00:00,RANGE,0.6266,0.2187,,False,no_fill,0.0,1.21192,1.21496,1.21136,1.21306
EURUSD,2021-02-12 00:00:00+00:00,RANGE,0.6091,0.2126,,False,no_fill,0.0,1.21308,1.21332,1.20816,1.21204
EURUSD,2021-02-14 00:00:00+00:00,RANGE,0.5917,0.2065,,False,no_fill,0.0,1.21252,1.21256,1.212,1.21204
EURUSD,2021-02-15 00:00:00+00:00,RANGE,0.5737,0.2003,,False,no_fill,0.0,1.21206,1.21452,1.21168,1.21323
EURUSD,2021-02-16 00:00:00+00:00,RANGE,0.558,0.1948,,False,no_fill,0.0,1.21322,1.21696,1.20861,1.20884
EURUSD,2021-02-17 00:00:00+00:00,RANGE,0.5649,0.1972,,False,no_fill,0.0,1.20882,1.20985,1.20233,1.20455
EURUSD,2021-02-18 00:00:00+00:00,RANGE,0.5704,0.1991,,False,no_fill,0.0,1.20456,1.20957,1.20357,1.2092
EURUSD,2021-02-19 00:00:00+00:00,RANGE,0.5794,0.2023,,False,no_fill,0.0,1.20918,1.21445,1.20824,1.21184
EURUSD,2021-02-21 00:00:00+00:00,RANGE,0.5702,0.1991,,False,no_fill,0.0,1.21173,1.21292,1.2115,1.21247
EURUSD,2021-02-22 00:00:00+00:00,RANGE,0.5534,0.1932,,False,no_fill,0.0,1.21249,1.21694,1.20912,1.2164
EURUSD,2021-02-23 00:00:00+00:00,RANGE,0.5558,0.194,,False,no_fill,0.0,1.2164,1.218,1.21354,1.21509
EURUSD,2021-02-24 00:00:00+00:00,RANGE,0.541,0.1889,,False,no_fill,0.0,1.21508,1.21748,1.21092,1.21695
EURUSD,2021-02-25 00:00:00+00:00,RANGE,0.529,0.1847,SELL,True,win,0.52903,1.21696,1.22431,1.2156,1.21578
EURUSD,2021-02-26 00:00:00+00:00,RANGE,0.5147,0.1797,BUY,True,loss,-0.25736,1.2158,1.21828,1.20622,1.20734
EURUSD,2021-02-28 00:00:00+00:00,RANGE,0.5889,0.2056,,False,no_fill,0.0,1.20713,1.20921,1.2071,1.20906
EURUSD,2021-03-01 00:00:00+00:00,RANGE,0.5745,0.2005,,False,no_fill,0.0,1.20907,1.21012,1.20275,1.20488
EURUSD,2021-03-02 00:00:00+00:00,RANGE,0.5783,0.2018,,False,no_fill,0.0,1.20486,1.20945,1.19918,1.2085
EURUSD,2021-03-03 00:00:00+00:00,RANGE,0.5766,0.2013,,False,no_fill,0.0,1.20851,1.21134,1.20428,1.20464
EURUSD,2021-03-04 00:00:00+00:00,RANGE,0.5771,0.2015,BUY,True,win,0.57714,1.20464,1.20632,1.19608,1.19673
EURUSD,2021-03-05 00:00:00+00:00,BEAR,0.6328,0.2209,,False,no_fill,0.0,1.19672,1.19688,1.18934,1.1913
EURUSD,2021-03-07 00:00:00+00:00,BEAR,0.6466,0.2257,,False,no_fill,0.0,1.19188,1.1932,1.19176,1.19262
EURUSD,2021-03-08 00:00:00+00:00,BEAR,0.6289,0.2195,BUY,True,win,0.40935,1.19261,1.19324,1.18442,1.18509
EURUSD,2021-03-09 00:00:00+00:00,BEAR,0.6727,0.2348,,False,no_fill,0.0,1.1851,1.19158,1.18356,1.1897
EURUSD,2021-03-10 00:00:00+00:00,BEAR,0.6751,0.2356,,False,no_fill,0.0,1.18968,1.19299,1.1869,1.19244
EURUSD,2021-03-11 00:00:00+00:00,BEAR,0.6626,0.2313,,False,no_fill,0.0,1.19243,1.199,1.19158,1.19811
EURUSD,2021-03-12 00:00:00+00:00,BEAR,0.6767,0.2362,,False,no_fill,0.0,1.19809,1.19886,1.19099,1.19525
EURUSD,2021-03-14 00:00:00+00:00,BEAR,0.6648,0.2321,,False,no_fill,0.0,1.19516,1.19544,1.19426,1.19502
EURUSD,2021-03-15 00:00:00+00:00,BEAR,0.6446,0.225,,False,no_fill,0.0,1.19502,1.19674,1.19112,1.19264
EURUSD,2021-03-16 00:00:00+00:00,BEAR,0.6314,0.2204,,False,no_fill,0.0,1.19265,1.1952,1.18822,1.19022
EURUSD,2021-03-17 00:00:00+00:00,BEAR,0.6189,0.216,,False,no_fill,0.0,1.19019,1.19875,1.18862,1.19828
EURUSD,2021-03-18 00:00:00+00:00,BEAR,0.6721,0.2346,,False,no_fill,0.0,1.19826,1.1989,1.19062,1.19178
EURUSD,2021-03-19 00:00:00+00:00,BEAR,0.6958,0.2429,,False,no_fill,0.0,1.19176,1.19371,1.18739,1.19042
EURUSD,2021-03-21 00:00:00+00:00,BEAR,0.6766,0.2362,,False,no_fill,0.0,1.1874,1.18902,1.18676,1.18838
EURUSD,2021-03-22 00:00:00+00:00,BEAR,0.6605,0.2306,,False,no_fill,0.0,1.1884,1.1947,1.18746,1.19324
EURUSD,2021-03-23 00:00:00+00:00,BEAR,0.666,0.2325,BUY,True,win,0.43354,1.19326,1.19409,1.18362,1.18396
EURUSD,2021-03-24 00:00:00+00:00,BEAR,0.7346,0.2564,,False,no_fill,0.0,1.18398,1.18511,1.1809,1.18129
EURUSD,2021-03-25 00:00:00+00:00,BEAR,0.7194,0.2511,,False,no_fill,0.0,1.1813,1.18278,1.17618,1.17758
EURUSD,2021-03-26 00:00:00+00:00,BEAR,0.7117,0.2484,,False,no_fill,0.0,1.1776,1.1805,1.17718,1.17941
EURUSD,2021-03-28 00:00:00+00:00,BEAR,0.6935,0.2421,,False,no_fill,0.0,1.17941,1.17941,1.17858,1.17876
EURUSD,2021-03-29 00:00:00+00:00,BEAR,0.6728,0.2349,,False,no_fill,0.0,1.17874,1.17938,1.17606,1.17688
EURUSD,2021-03-30 00:00:00+00:00,BEAR,0.6562,0.2291,,False,no_fill,0.0,1.17685,1.17738,1.17114,1.17232
EURUSD,2021-03-31 00:00:00+00:00,BEAR,0.6597,0.2303,,False,no_fill,0.0,1.17233,1.176,1.17042,1.17272
EURUSD,2021-04-01 00:00:00+00:00,BEAR,0.6397,0.2233,,False,no_fill,0.0,1.17271,1.17826,1.17126,1.17776
EURUSD,2021-04-02 00:00:00+00:00,BEAR,0.6494,0.2267,,False,no_fill,0.0,1.17778,1.17868,1.17494,1.17602
EURUSD,2021-04-04 00:00:00+00:00,BEAR,0.6331,0.221,,False,no_fill,0.0,1.17608,1.17681,1.17558,1.17677
EURUSD,2021-04-05 00:00:00+00:00,BEAR,0.6145,0.2145,,False,no_fill,0.0,1.17676,1.18196,1.17376,1.1817
EURUSD,2021-04-06 00:00:00+00:00,BEAR,0.6246,0.218,,False,no_fill,0.0,1.18169,1.18788,1.1795,1.18739
EURUSD,2021-04-07 00:00:00+00:00,RANGE,0.6428,0.2244,,False,no_fill,0.0,1.1874,1.19149,1.18608,1.18726
EURUSD,2021-04-08 00:00:00+00:00,RANGE,0.6232,0.2176,,False,no_fill,0.0,1.18728,1.19275,1.18608,1.19155
EURUSD,2021-04-09 00:00:00+00:00,RANGE,0.6255,0.2184,,False,no_fill,0.0,1.19154,1.19202,1.18671,1.18998
EURUSD,2021-04-11 00:00:00+00:00,RANGE,0.6094,0.2127,,False,no_fill,0.0,1.18906,1.19042,1.18905,1.1896
EURUSD,2021-04-12 00:00:00+00:00,BULL,0.591,0.2063,,False,no_fill,0.0,1.18961,1.19192,1.18712,1.19118
EURUSD,2021-04-13 00:00:00+00:00,BULL,0.5761,0.2011,,False,no_fill,0.0,1.19116,1.1956,1.1878,1.19538
EURUSD,2021-04-14 00:00:00+00:00,BULL,0.5804,0.2026,,False,no_fill,0.0,1.1954,1.19874,1.19511,1.19833
EURUSD,2021-04-15 00:00:00+00:00,BULL,0.5735,0.2002,,False,no_fill,0.0,1.19832,1.19934,1.19562,1.19694
EURUSD,2021-04-16 00:00:00+00:00,BULL,0.5585,0.1949,,False,no_fill,0.0,1.19693,1.1995,1.19506,1.19822
EURUSD,2021-04-18 00:00:00+00:00,BULL,0.5436,0.1897,,False,no_fill,0.0,1.19734,1.19778,1.19682,1.19689
EURUSD,2021-04-19 00:00:00+00:00,BULL,0.5294,0.1848,SELL,True,win,0.34457,1.19688,1.2048,1.19426,1.20426
EURUSD,2021-04-20 00:00:00+00:00,BULL,0.5825,0.2033,,False,no_fill,0.0,1.20428,1.20799,1.20224,1.20325
EURUSD,2021-04-21 00:00:00+00:00,BULL,0.566,0.1976,,False,no_fill,0.0,1.20326,1.20438,1.19985,1.20373
EURUSD,2021-04-22 00:00:00+00:00,BULL,0.549,0.1916,,False,no_fill,0.0,1.20371,1.20698,1.19938,1.20145
EURUSD,2021-04-23 00:00:00+00:00,BULL,0.5391,0.1882,SELL,True,win,0.35089,1.20146,1.21002,1.20129,1.20968
EURUSD,2021-04-25 00:00:00+00:00,BULL,0.6058,0.2115,,False,no_fill,0.0,1.20926,1.20986,1.2089,1.20896
EURUSD,2021-04-26 00:00:00+00:00,BULL,0.5879,0.2052,,False,no_fill,0.0,1.20898,1.2117,1.20612,1.20794
EURUSD,2021-04-27 00:00:00+00:00,BULL,0.5713,0.1994,,False,no_fill,0.0,1.20792,1.2093,1.20569,1.20893
EURUSD,2021-04-28 00:00:00+00:00,BULL,0.5551,0.1938,,False,no_fill,0.0,1.20892,1.21355,1.20561,1.2135
EURUSD,2021-04-29 00:00:00+00:00,BULL,0.5642,0.1969,,False,no_fill,0.0,1.21352,1.215,1.21024,1.21246
EURUSD,2021-04-30 00:00:00+00:00,BULL,0.5484,0.1914,,False,no_fill,0.0,1.21245,1.21267,1.20168,1.202
EURUSD,2021-05-02 00:00:00+00:00,BULL,0.6586,0.2299,,False,no_fill,0.0,1.2033,1.20346,1.20247,1.20274
EURUSD,2021-05-03 00:00:00+00:00,BULL,0.6392,0.2231,,False,no_fill,0.0,1.20275,1.20763,1.20132,1.2059
EURUSD,2021-05-04 00:00:00+00:00,BULL,0.6308,0.2202,,False,no_fill,0.0,1.20592,1.20601,1.1999,1.20147
EURUSD,2021-05-05 00:00:00+00:00,RANGE,0.6335,0.2211,,False,no_fill,0.0,1.20146,1.20266,1.1986,1.20076
EURUSD,2021-05-06 00:00:00+00:00,RANGE,0.6147,0.2146,,False,no_fill,0.0,1.20076,1.20717,1.19932,1.20653
EURUSD,2021-05-07 00:00:00+00:00,RANGE,0.6336,0.2212,SELL,True,win,0.63364,1.20652,1.21716,1.2053,1.21632
EURUSD,2021-05-09 00:00:00+00:00,RANGE,0.7134,0.249,,False,no_fill,0.0,1.2164,1.21789,1.21601,1.21708
EURUSD,2021-05-10 00:00:00+00:00,BULL,0.6922,0.2416,,False,no_fill,0.0,1.21706,1.21784,1.21278,1.21406
EURUSD,2021-05-11 00:00:00+00:00,BULL,0.6803,0.2375,,False,no_fill,0.0,1.21408,1.21818,1.2123,1.21442
EURUSD,2021-05-12 00:00:00+00:00,BULL,0.6597,0.2303,,False,no_fill,0.0,1.21444,1.21524,1.20656,1.20778
EURUSD,2021-05-13 00:00:00+00:00,BULL,0.6853,0.2392,,False,no_fill,0.0,1.20776,1.21062,1.20514,1.20768
EURUSD,2021-05-14 00:00:00+00:00,BULL,0.6644,0.2319,,False,no_fill,0.0,1.2077,1.21478,1.2071,1.21457
EURUSD,2021-05-16 00:00:00+00:00,BULL,0.6929,0.2419,,False,no_fill,0.0,1.21474,1.21512,1.214,1.21498
EURUSD,2021-05-17 00:00:00+00:00,RANGE,0.672,0.2346,,False,no_fill,0.0,1.21498,1.2169,1.21262,1.21564
EURUSD,2021-05-18 00:00:00+00:00,RANGE,0.652,0.2276,,False,no_fill,0.0,1.21562,1.2234,1.21536,1.22225
EURUSD,2021-05-19 00:00:00+00:00,BULL,0.6773,0.2364,,False,no_fill,0.0,1.22226,1.22454,1.21597,1.21705
EURUSD,2021-05-20 00:00:00+00:00,BULL,0.684,0.2388,,False,no_fill,0.0,1.21706,1.22301,1.2169,1.22252
EURUSD,2021-05-21 00:00:00+00:00,BULL,0.693,0.2419,,False,no_fill,0.0,1.22252,1.22399,1.21608,1.21817
EURUSD,2021-05-23 00:00:00+00:00,BULL,0.6907,0.2411,,False,no_fill,0.0,1.21768,1.21844,1.21724,1.21807
EURUSD,2021-05-24 00:00:00+00:00,BULL,0.6696,0.2337,,False,no_fill,0.0,1.21806,1.223,1.21749,1.22144
EURUSD,2021-05-25 00:00:00+00:00,BULL,0.661,0.2307,,False,no_fill,0.0,1.22143,1.22664,1.22116,1.2247
EURUSD,2021-05-26 00:00:00+00:00,BULL,0.6519,0.2276,,False,no_fill,0.0,1.22471,1.2263,1.21819,1.21921
EURUSD,2021-05-27 00:00:00+00:00,BULL,0.6634,0.2316,,False,no_fill,0.0,1.2192,1.22152,1.21752,1.21928
EURUSD,2021-05-28 00:00:00+00:00,BULL,0.6432,0.2245,,False,no_fill,0.0,1.21929,1.2205,1.21326,1.21921
EURUSD,2021-05-30 00:00:00+00:00,BULL,0.6236,0.2177,,False,no_fill,0.0,1.2201,1.2201,1.21892,1.21895
EURUSD,2021-05-31 00:00:00+00:00,RANGE,0.6047,0.2111,,False,no_fill,0.0,1.21896,1.22346,1.21834,1.22326
EURUSD,2021-06-01 00:00:00+00:00,RANGE,0.6073,0.212,,False,no_fill,0.0,1.22328,1.22545,1.22116,1.22176
EURUSD,2021-06-02 00:00:00+00:00,RANGE,0.5914,0.2064,,False,no_fill,0.0,1.22174,1.22266,1.2164,1.22096
EURUSD,2021-06-03 00:00:00+00:00,RANGE,0.5741,0.2004,BUY,True,win,0.57409,1.22098,1.22142,1.21182,1.213
EURUSD,2021-06-04 00:00:00+00:00,RANGE,0.6292,0.2196,,False,no_fill,0.0,1.21302,1.21856,1.2104,1.21668
EURUSD,2021-06-06 00:00:00+00:00,RANGE,0.625,0.2182,,False,no_fill,0.0,1.21671,1.21682,1.21613,1.21667
EURUSD,2021-06-07 00:00:00+00:00,RANGE,0.606,0.2115,,False,no_fill,0.0,1.21668,1.22018,1.21449,1.21908
EURUSD,2021-06-08 00:00:00+00:00,RANGE,0.5942,0.2074,,False,no_fill,0.0,1.21907,1.2194,1.21642,1.21724
EURUSD,2021-06-09 00:00:00+00:00,RANGE,0.5801,0.2025,,False,no_fill,0.0,1.21726,1.22181,1.21712,1.21786
EURUSD,2021-06-10 00:00:00+00:00,RANGE,0.5629,0.1965,,False,no_fill,0.0,1.21784,1.21949,1.21433,1.21728
EURUSD,2021-06-11 00:00:00+00:00,RANGE,0.5461,0.1906,BUY,True,win,0.54613,1.21726,1.2193,1.20926,1.2109
EURUSD,2021-06-13 00:00:00+00:00,RANGE,0.5796,0.2023,,False,no_fill,0.0,1.21088,1.2112,1.21035,1.21096
EURUSD,2021-06-14 00:00:00+00:00,RANGE,0.562,0.1962,,False,no_fill,0.0,1.21098,1.21306,1.20944,1.2122
EURUSD,2021-06-15 00:00:00+00:00,RANGE,0.5468,0.1909,,False,no_fill,0.0,1.21218,1.21474,1.21014,1.21247
EURUSD,2021-06-16 00:00:00+00:00,RANGE,0.5302,0.1851,BUY,True,loss,-0.26511,1.21248,1.21348,1.19868,1.19952
EURUSD,2021-06-17 00:00:00+00:00,BEAR,0.7046,0.2459,BUY,True,win,0.45862,1.19951,1.20065,1.18918,1.19132
EURUSD,2021-06-18 00:00:00+00:00,BEAR,0.7492,0.2615,,False,no_fill,0.0,1.1913,1.19251,1.18474,1.18642
EURUSD,2021-06-20 00:00:00+00:00,BEAR,0.7496,0.2617,,False,no_fill,0.0,1.18572,1.18756,1.18502,1.18706
EURUSD,2021-06-21 00:00:00+00:00,BEAR,0.7272,0.2538,,False,no_fill,0.0,1.18705,1.19214,1.18477,1.1912
EURUSD,2021-06-22 00:00:00+00:00,BEAR,0.7221,0.2521,,False,no_fill,0.0,1.19124,1.19528,1.18811,1.19364
EURUSD,2021-06-23 00:00:00+00:00,BEAR,0.7061,0.2465,,False,no_fill,0.0,1.19363,1.19702,1.19116,1.19298
EURUSD,2021-06-24 00:00:00+00:00,BEAR,0.685,0.2391,,False,no_fill,0.0,1.193,1.19564,1.19176,1.19281
EURUSD,2021-06-25 00:00:00+00:00,BEAR,0.6642,0.2319,,False,no_fill,0.0,1.19282,1.19754,1.19264,1.19361
EURUSD,2021-06-27 00:00:00+00:00,BEAR,0.6447,0.225,,False,no_fill,0.0,1.19355,1.19422,1.1934,1.19416
EURUSD,2021-06-28 00:00:00+00:00,BEAR,0.6254,0.2183,,False,no_fill,0.0,1.19418,1.19447,1.19024,1.19288
