combo,ic_select
leg_hy_ig_credit_yahoo +slope_2s10s -nzdjpy,0.300422897140903
jordan_composite_yahoo +leg_hy_ig_credit_yahoo +hy_oas,0.29983418374552084
leg_discretionary_staples_yahoo -vix +leg_hy_ig_credit_yahoo,0.2997087169704513
vix -xauusd_cvol -real10,-0.29938164896448766
xauusd_cvol +slope_2s5s -nzdjpy,0.29875134068781933
vix -xauusd_cvol -slope_2s5s,-0.2983430205273866
vix -slope_2s10s -be10,-0.2981822612390527
jordan_composite_yahoo +slope_2s30s +leg_hy_ig_credit_yahoo,0.2979694570412509
jordan_composite_yahoo +slope_2s10s +be10,0.29774874651445926
smallcap_largecap_oanda -slope_2s30s -real10,-0.29736025974703006
vix -leg_hy_ig_credit_yahoo -be10,-0.2972144005683655
vix -leg_hy_ig_credit_yahoo,-0.2970367939615503
jordan_composite_yahoo -vix +hy_oas,0.2969382510812052
vix -nas_rvol -slope_2s5s,-0.29639287796957703
smallcap_largecap_oanda -leg_hy_ig_credit_yahoo -slope_2s5s,-0.296367727919578
hy_oas +slope_2s10s +be10,0.29617752032973194
jordan_composite_yahoo +nas_rvol +real10,0.29615873531893394
jordan_composite_yahoo +nas_rvol +slope_2s10s,0.2960611752241337
xauusd_cvol +slope_2s10s +be10,0.2960217892389246
vix -em_fx_basket -slope_2s30s,-0.29586504451889
jordan_composite_yahoo -vix -xauusd_skew,0.2956729371409178
jordan_composite_yahoo +xauusd_cvol -xauusd_skew,0.2952648401757866
slope_2s30s +hy_oas +be10,0.29512108774870016
jordan_composite_yahoo +xauusd_cvol -leg_smallcap_largecap_yahoo,0.2950679599345268
jordan_composite_yahoo +nas_rvol -smallcap_largecap_oanda,0.29506263466112603
jordan_composite_yahoo -smallcap_largecap_oanda,0.294853656909578
jordan_composite_yahoo +xauusd_cvol +hy_oas,0.2947828038964994
xauusd_cvol +slope_2s30s +leg_hy_ig_credit_yahoo,0.2947066601562742
leg_discretionary_staples_yahoo +jordan_composite_yahoo -smallcap_largecap_oanda,0.29465648061327543
xauusd_cvol +leg_hy_ig_credit_yahoo +real10,0.2946112126392579
leg_discretionary_staples_yahoo +xauusd_cvol +slope_2s30s,0.29416580850389257
smallcap_largecap_oanda -slope_2s5s -real10,-0.2940468110631784
xauusd_cvol +leg_hy_ig_credit_yahoo +slope_2s5s,0.2936926817844562
smallcap_largecap_oanda -slope_2s5s -be10,-0.2936325072305897
leg_discretionary_staples_yahoo +jordan_composite_yahoo +leg_hy_ig_credit_yahoo,0.29345604982549234
jordan_composite_yahoo +nas_rvol -nzdjpy,0.29345231761588336
leg_discretionary_staples_yahoo +jordan_composite_yahoo +slope_2s30s,0.2934431872367369
jordan_composite_yahoo +hy_oas -nzdjpy,0.29328017242494714
jordan_composite_yahoo +hy_oas +slope_2s10s,0.2931247461682986
vix -em_fx_basket -slope_2s10s,-0.2929797062069725
jordan_composite_yahoo +slope_2s10s -nzdjpy,0.2927958785490594
leg_hy_ig_credit_yahoo +hy_oas +be10,0.2927507449399291
jordan_composite_yahoo +leg_hy_ig_credit_yahoo +slope_2s5s,0.29268463720139526
jordan_composite_yahoo +slope_2s30s +real10,0.2923556760683263
leg_hy_ig_credit_yahoo +hy_oas -nfci,0.2922415611027076
jordan_composite_yahoo +nas_rvol +slope_2s5s,0.2919269633350922
xauusd_cvol +leg_hy_ig_credit_yahoo,0.2916171344071592
leg_discretionary_staples_yahoo -smallcap_largecap_oanda +slope_2s10s,0.2915784939682686
vix -slope_2s30s,-0.29135005210030107
jordan_composite_yahoo +slope_2s30s +hy_oas,0.2912830615737608
leg_hy_ig_credit_yahoo -nfci +slope_2s5s,0.29110244106846406
vix -slope_2s30s +xauusd_skew,-0.2910598971784245
leg_discretionary_staples_yahoo +leg_hy_ig_credit_yahoo +slope_2s5s,0.29094355428840646
jordan_composite_yahoo +slope_2s5s +be10,0.29079801766296826
jordan_composite_yahoo +nas_rvol +slope_2s30s,0.29077025022673353
vix -xauusd_cvol +nfci,-0.29046905908314585
jordan_composite_yahoo -vix +em_fx_basket,0.2904560194520911
jordan_composite_yahoo +slope_2s10s -leg_smallcap_largecap_yahoo,0.2902162118354548
leg_discretionary_staples_yahoo -vix -smallcap_largecap_oanda,0.2900470014273303
nas_rvol +leg_hy_ig_credit_yahoo +slope_2s5s,0.28982481710108265
xauusd_cvol -smallcap_largecap_oanda +real10,0.2897862399168851
jordan_composite_yahoo +fwd5y5y +leg_hy_ig_credit_yahoo,0.2897664061394145
jordan_composite_yahoo -silver_gold_ratio_oanda +xauusd_cvol,0.2895145079091563
leg_discretionary_staples_yahoo +jordan_composite_yahoo +slope_2s10s,0.28908470896822813
leg_discretionary_staples_yahoo +xauusd_cvol +be10,0.2889329636773151
vix -fwd5y5y -leg_hy_ig_credit_yahoo,-0.28891548068858824
vix +smallcap_largecap_oanda -hy_oas,-0.2887623686157826
leg_discretionary_staples_yahoo +leg_hy_ig_credit_yahoo +be10,0.2883018137942624
vix -slope_2s10s,-0.2882866751576353
vix -fwd5y5y +smallcap_largecap_oanda,-0.28826302334339327
vix -leg_hy_ig_credit_yahoo -real10,-0.2882217120137839
nas_rvol +leg_hy_ig_credit_yahoo +slope_2s10s,0.2879436847998232
vix +smallcap_largecap_oanda -dow_spx_ratio_oanda,-0.28785854170533626
xauusd_cvol -smallcap_largecap_oanda +be10,0.28765767033286666
jordan_composite_yahoo +leg_hy_ig_credit_yahoo -xauusd_skew,0.2876391820321488
jordan_composite_yahoo +leg_hy_ig_credit_yahoo +be10,0.2875561592336637
vix -xauusd_cvol +leg_smallcap_largecap_yahoo,-0.2874439207114743
xauusd_cvol -oil +leg_hy_ig_credit_yahoo,0.2874361736655762
jordan_composite_yahoo +slope_2s5s -nzdjpy,0.28671241200552033
leg_discretionary_staples_yahoo +slope_2s10s +be10,0.2864563765081666
leg_discretionary_staples_yahoo -smallcap_largecap_oanda +slope_2s30s,0.28640256616321785
slope_5s30s -slope_2s30s -leg_hy_ig_credit_yahoo,-0.28629663287318563
smallcap_largecap_oanda -leg_hy_ig_credit_yahoo -leg_smallcap_largecap_yahoo,-0.28609287730108895
vix -em_fx_basket +smallcap_largecap_oanda,-0.2858295786578019
vix -xauusd_cvol -slope_5s30s,-0.2856504457482183
jordan_composite_yahoo -vix +slope_5s30s,0.28523876472109483
leg_discretionary_staples_yahoo +leg_hy_ig_credit_yahoo -nzdjpy,0.285178746911544
jordan_composite_yahoo +slope_2s10s +real10,0.28490410709113145
jordan_composite_yahoo +slope_2s30s -nzdjpy,0.2848737935674398
vix -leg_hy_ig_credit_yahoo +usd_basket,-0.28468956906203086
leg_discretionary_staples_yahoo +nas_rvol +leg_hy_ig_credit_yahoo,0.2846719697617439
smallcap_largecap_oanda -leg_hy_ig_credit_yahoo +nzdjpy,-0.2842953656613371
jordan_composite_yahoo +hy_oas +real10,0.28405939315599077
jordan_composite_yahoo +nas_rvol +be10,0.28403924137745884
jordan_composite_yahoo -vix -oil,0.2837957279640001
jordan_composite_yahoo +leg_hy_ig_credit_yahoo +real10,0.2837374371271723
xauusd_cvol -nzdjpy +real10,0.2831997461318114
jordan_composite_yahoo +slope_2s30s -leg_smallcap_largecap_yahoo,0.28313089250132506
jordan_composite_yahoo +xauusd_cvol -gold,0.2827824428117759
vix -hy_oas -slope_2s10s,-0.28277013983183336
oil -leg_hy_ig_credit_yahoo -slope_2s5s,-0.2826087566660811
jordan_composite_yahoo -smallcap_largecap_oanda -xauusd_skew,0.28257488557395405
vix +oil_gold_ratio_oanda -leg_hy_ig_credit_yahoo,-0.2822301000017954
xauusd_cvol +slope_2s30s +be10,0.28179354120558747
smallcap_largecap_oanda +nfci -slope_2s5s,-0.2817277620990035
jordan_composite_yahoo +copper_gold_ratio_yahoo +slope_2s10s,0.28171654801163953
xauusd_cvol +nas_rvol +leg_hy_ig_credit_yahoo,0.2813858279937639
xauusd_cvol -smallcap_largecap_oanda -nfci,0.2810857810983528
fwd5y5y +nas_rvol +leg_hy_ig_credit_yahoo,0.2808841215016166
jordan_composite_yahoo -smallcap_largecap_oanda +slope_5s30s,0.28074004254442375
jordan_composite_yahoo +real10 -leg_smallcap_largecap_yahoo,0.2807395243986613
leg_discretionary_staples_yahoo +leg_hy_ig_credit_yahoo -usd_basket,0.2807326211795292
leg_discretionary_staples_yahoo +xauusd_cvol -nzdjpy,0.28064316827219654
nas_rvol +leg_hy_ig_credit_yahoo -nfci,0.280548245893636
xauusd_cvol -smallcap_largecap_oanda +slope_2s5s,0.2804835021445966
vix +xauusd_skew -slope_2s10s,-0.28038738511908556
leg_discretionary_staples_yahoo -vix +slope_2s30s,0.28038481480881494
xauusd_cvol -smallcap_largecap_oanda +slope_2s30s,0.2803304768579891
vix +smallcap_largecap_oanda +usd_basket,-0.28031423687325
vix -eurusd_cvol -leg_hy_ig_credit_yahoo,-0.28024347773155217
jordan_composite_yahoo -vix +real10,0.2802134736888877
vix -leg_hy_ig_credit_yahoo -ig_oas,-0.2800455900815803
jordan_composite_yahoo -xauusd_skew +slope_2s10s,0.27990660859226785
jordan_composite_yahoo +slope_2s5s +real10,0.2794719286739066
vix -slope_2s10s -real10,-0.27940261880666567
jordan_composite_yahoo -oil +leg_hy_ig_credit_yahoo,0.27927707503327487
leg_hy_ig_credit_yahoo -nzdjpy +be10,0.2792376422808453
leg_discretionary_staples_yahoo +slope_2s30s +be10,0.27890555926759586
leg_hy_ig_credit_yahoo +hy_oas +slope_2s10s,0.27882664116547257
xauusd_cvol +slope_2s5s +be10,0.2788012905677336
jordan_composite_yahoo +xauusd_cvol +slope_5s30s,0.27877709496662334
vix -em_fx_basket -slope_2s5s,-0.27867889552887587
