lag_h,train_level_corr,n,key
36,-0.15607680445236105,45801,usd_basket
39,-0.15593540940421122,45789,usd_basket
42,-0.1556750228710408,45777,usd_basket
45,-0.15523929671650302,45765,usd_basket
48,-0.15468197789116964,45753,usd_basket
51,-0.15422067270007672,45744,usd_basket
54,-0.15362968070985808,45744,usd_basket
57,-0.15333127013936698,45744,usd_basket
60,-0.15300545002088067,45744,usd_basket
3,0.8451722799475949,45928,gold
6,0.8450248739572984,45917,gold
9,0.844908559183551,45905,gold
12,0.8448257880566226,45893,gold
15,0.8447554197111946,45881,gold
18,0.8446803634427557,45869,gold
21,0.8445715150667141,45857,gold
24,0.8445004568829932,45845,gold
27,0.8444222707460554,45836,gold
30,0.8443023755906284,45825,gold
33,0.8441404866645343,45813,gold
36,0.8439632224124098,45801,gold
39,0.8438249776870909,45789,gold
42,0.8437014971038626,45777,gold
45,0.8435593983754837,45765,gold
48,0.8434289356460529,45753,gold
51,0.8433022248821138,45744,gold
54,0.8432860126673057,45744,gold
57,0.8432491630108812,45744,gold
60,0.8431918884249828,45744,gold
3,-0.6382526165757902,45928,oil
6,-0.639024387142822,45917,oil
9,-0.6398828562897108,45905,oil
12,-0.6407650380002202,45893,oil
15,-0.6416341692935853,45881,oil
18,-0.6427275377196963,45869,oil
21,-0.6437473571699148,45857,oil
24,-0.6447629401001963,45845,oil
27,-0.645916222745355,45836,oil
30,-0.647011715485984,45825,oil
33,-0.6474936239407266,45813,oil
36,-0.6480333517576639,45801,oil
39,-0.6485251805252569,45789,oil
42,-0.6491262687506395,45777,oil
45,-0.6497017784122651,45765,oil
48,-0.6501677373315811,45753,oil
51,-0.6507329621440545,45744,oil
54,-0.6514180493279615,45744,oil
57,-0.6517399211609505,45744,oil
60,-0.6520206723347032,45744,oil
3,-0.6836801174796691,45928,copper_gold_ratio_yahoo
6,-0.6833643619793077,45917,copper_gold_ratio_yahoo
9,-0.6830646849774835,45905,copper_gold_ratio_yahoo
12,-0.6828044866430746,45893,copper_gold_ratio_yahoo
15,-0.6825703723476189,45881,copper_gold_ratio_yahoo
18,-0.6824571941381237,45869,copper_gold_ratio_yahoo
21,-0.6824065607343379,45857,copper_gold_ratio_yahoo
24,-0.6821494521164465,45845,copper_gold_ratio_yahoo
27,-0.6819196090652343,45836,copper_gold_ratio_yahoo
30,-0.6816799432441267,45825,copper_gold_ratio_yahoo
33,-0.6814518413605328,45813,copper_gold_ratio_yahoo
36,-0.6812558197212395,45801,copper_gold_ratio_yahoo
39,-0.6811241230909862,45789,copper_gold_ratio_yahoo
42,-0.6810122849216326,45777,copper_gold_ratio_yahoo
45,-0.6808337752818903,45765,copper_gold_ratio_yahoo
48,-0.6809429593958812,45753,copper_gold_ratio_yahoo
51,-0.6811889949677051,45744,copper_gold_ratio_yahoo
54,-0.681536710647908,45744,copper_gold_ratio_yahoo
57,-0.6818730657796189,45744,copper_gold_ratio_yahoo
60,-0.6822259190866964,45744,copper_gold_ratio_yahoo
3,0.07356557269821741,45928,vix
6,0.07173340208025374,45917,vix
9,0.07022516873221088,45905,vix
12,0.0689399431585098,45893,vix
15,0.06807063927202114,45881,vix
18,0.06827686297411054,45869,vix
21,0.06976799154062725,45857,vix
24,0.07018998162025972,45845,vix
27,0.07098022322637396,45836,vix
30,0.07169703587147427,45825,vix
33,0.07233241681608268,45813,vix
