combo,target_lag_h,ic_select,n_select
leg_discretionary_staples_yahoo+vix+copper_gold_ratio_yahoo+hangseng+usd_basket,3,0.16802451759490378,12368
leg_discretionary_staples_yahoo+vix+hy_ig_oas_diff+copper_gold_ratio_yahoo+hangseng+usd_basket,3,0.16793707158643112,12368
leg_discretionary_staples_yahoo+vix+hy_ig_oas_diff+copper_gold_ratio_yahoo+hangseng+leg_hy_ig_credit_yahoo,3,0.16757116993395127,12368
leg_discretionary_staples_yahoo+vix+copper_gold_ratio_yahoo+hangseng+leg_hy_ig_credit_yahoo,3,0.1675594950956113,12368
leg_discretionary_staples_yahoo+vix+copper_gold_ratio_yahoo+hangseng,3,0.16715215651520388,12368
leg_discretionary_staples_yahoo+vix+hy_ig_oas_diff+copper_gold_ratio_yahoo+hangseng,3,0.16711345297579855,12368
leg_discretionary_staples_yahoo+vix+hy_ig_oas_diff+copper_gold_ratio_yahoo+leg_hy_ig_credit_yahoo+usd_basket,3,0.16654084073179795,12368
leg_discretionary_staples_yahoo+vix+copper_gold_ratio_yahoo+usd_basket,3,0.16648522315032155,12368
leg_discretionary_staples_yahoo+vix+copper_gold_ratio_yahoo+leg_hy_ig_credit_yahoo+usd_basket,3,0.1664386469032897,12368
jordan_composite_yahoo+vix+hy_ig_oas_diff+copper_gold_ratio_yahoo+usd_basket,3,0.1663701769000741,12368
leg_discretionary_staples_yahoo+vix+hy_ig_oas_diff+copper_gold_ratio_yahoo+usd_basket,3,0.16627360198809446,12368
jordan_composite_yahoo+vix+copper_gold_ratio_yahoo+usd_basket,3,0.16623555651920338,12368
jordan_composite_yahoo+vix+hy_ig_oas_diff+copper_gold_ratio_yahoo,3,0.16615949554282838,12368
jordan_composite_yahoo+vix+copper_gold_ratio_yahoo,3,0.16608430250718081,12368
leg_discretionary_staples_yahoo+vix+copper_gold_ratio_yahoo+leg_hy_ig_credit_yahoo,3,0.1660652179950333,12368
leg_discretionary_staples_yahoo+vix+hy_ig_oas_diff+copper_gold_ratio_yahoo+leg_hy_ig_credit_yahoo,3,0.16598114006875173,12368
leg_discretionary_staples_yahoo+vix+hangseng+leg_hy_ig_credit_yahoo+usd_basket,3,0.1658820186832554,12368
leg_discretionary_staples_yahoo+vix+hy_ig_oas_diff+hangseng+leg_hy_ig_credit_yahoo+usd_basket,3,0.16578516404311333,12368
leg_discretionary_staples_yahoo+vix+hy_ig_oas_diff+copper_gold_ratio_yahoo,3,0.16563300380726395,12368
leg_discretionary_staples_yahoo+vix+copper_gold_ratio_yahoo,3,0.1656125601660815,12368
leg_discretionary_staples_yahoo+vix+hangseng+leg_hy_ig_credit_yahoo,3,0.16522326682589983,12368
leg_discretionary_staples_yahoo+vix+hy_ig_oas_diff+hangseng+leg_hy_ig_credit_yahoo,3,0.16514142975303983,12368
leg_discretionary_staples_yahoo+vix+hangseng+usd_basket,3,0.1650571694503794,12368
jordan_composite_yahoo+vix+hangseng+leg_hy_ig_credit_yahoo,3,0.16488236272332035,12368
leg_discretionary_staples_yahoo+vix+hy_ig_oas_diff+hangseng+usd_basket,3,0.16487608164000805,12368
jordan_composite_yahoo+vix+hy_ig_oas_diff+hangseng+leg_hy_ig_credit_yahoo,3,0.164807031459566,12368
jordan_composite_yahoo+vix+hangseng+leg_hy_ig_credit_yahoo+usd_basket,3,0.1646794770084892,12368
jordan_composite_yahoo+vix+hy_ig_oas_diff+hangseng+leg_hy_ig_credit_yahoo+usd_basket,3,0.16461699201071847,12368
leg_discretionary_staples_yahoo+vix+hangseng,3,0.16444072811691327,12368
leg_discretionary_staples_yahoo+vix+hy_ig_oas_diff+hangseng,3,0.16428559530090925,12368
jordan_composite_yahoo+vix+hangseng,3,0.16280726120962222,12368
jordan_composite_yahoo+vix+hy_ig_oas_diff+hangseng,3,0.16264962800066865,12368
jordan_composite_yahoo+vix+hangseng+usd_basket,3,0.1624617569318262,12368
jordan_composite_yahoo+vix+hy_ig_oas_diff+hangseng+usd_basket,3,0.16232774310276674,12368
jordan_composite_yahoo+hy_ig_oas_diff,6,0.1617492125640111,12368
jordan_composite_yahoo+hy_ig_oas_diff+leg_hy_ig_credit_yahoo,6,0.15959222085662497,12368
vix+hy_ig_oas_diff+copper_gold_ratio_yahoo+hangseng+leg_hy_ig_credit_yahoo+usd_basket,3,0.15912588024229246,12368
jordan_composite_yahoo+hy_ig_oas_diff+leg_hy_ig_credit_yahoo+usd_basket,6,0.15906613241916628,12368
vix+hy_ig_oas_diff+copper_gold_ratio_yahoo+hangseng+leg_hy_ig_credit_yahoo,3,0.15877157851112886,12368
vix+copper_gold_ratio_yahoo+hangseng+leg_hy_ig_credit_yahoo+usd_basket,3,0.15874380399710403,12368
vix+hy_ig_oas_diff+copper_gold_ratio_yahoo+hangseng+usd_basket,3,0.15851370801756895,12368
vix+copper_gold_ratio_yahoo+hangseng+leg_hy_ig_credit_yahoo,3,0.1583937222200788,12368
vix+hy_ig_oas_diff+copper_gold_ratio_yahoo+hangseng,3,0.1579602970879667,12368
