kind,events,mean_r_long,mean_r_short,best_dir_mean_r,median_wick_atr,median_conf
w1_poc,1104,-0.24150652426532904,-0.20165145180156097,-0.20165145180156097,0.35094386497502816,8.0
w1_val,1048,-0.21331200920839422,-0.22285399394121863,-0.21331200920839422,0.34086834146210243,5.0
pwh,1020,-0.1585532995621604,-0.27031800544451334,-0.1585532995621604,0.41300671956600943,5.0
w1_r1,1017,-0.15493850404404177,-0.2513003526182797,-0.15493850404404177,0.38869347817979805,2.0
d1_s3,992,-0.23712389075317927,-0.20486582623705024,-0.20486582623705024,0.3524477012854058,4.0
h1_ob_bull,938,-0.17602553766557794,-0.23785922636493825,-0.17602553766557794,-0.34900072959578576,7.0
h1_ob_bear,920,-0.31647211048094837,-0.12516776265486143,-0.12516776265486143,-0.454248046511586,6.0
pwl,841,-0.19571682490503425,-0.2076074313259617,-0.19571682490503425,0.42602905494670135,4.0
w1_s1,824,-0.23773204588810853,-0.15520777404344832,-0.15520777404344832,0.3900096436616509,3.0
w1_r2,677,-0.12240353714121986,-0.27011402458582845,-0.12240353714121986,0.37584672166546007,1.0
h1_fvg_bull,525,-0.14420140375036442,-0.3042014037503644,-0.14420140375036442,-0.1882750471203356,5.0
h1_fvg_bear,481,-0.22029661352188018,-0.21198060520587186,-0.21198060520587186,-0.21339430646003077,6.0
w1_s2,443,-0.285325901425993,-0.10925366666301332,-0.10925366666301332,0.3979387623863942,1.0
w1_npoc,389,-0.23624829346622875,-0.189975799892964,-0.189975799892964,0.388049218035513,7.0
w1_r3,381,-0.11288566072501582,-0.2388699126935198,-0.11288566072501582,0.3883655772605273,1.0
w1_s3,234,-0.1634240023945718,-0.24889408786465728,-0.1634240023945718,0.3649974619083563,1.0
