time,entry_time,day,r,direction,sl_atr,tp_r,cell,r_bench,r_excess,fold
2020-08-21 03:00:00+00:00,2020-08-21 03:15:00+00:00,2020-08-21 00:00:00+00:00,0.8857258504678289,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,1.072459980806483,0
2020-08-21 14:45:00+00:00,2020-08-21 15:00:00+00:00,2020-08-21 00:00:00+00:00,0.9401507514456091,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,1.1268848817842632,0
2020-08-25 00:00:00+00:00,2020-08-25 00:15:00+00:00,2020-08-25 00:00:00+00:00,-1.143661234745064,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-0.95692710440641,0
2020-08-26 00:00:00+00:00,2020-08-26 00:15:00+00:00,2020-08-26 00:00:00+00:00,0.8444354686174976,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,1.0311695989561518,0
2020-08-26 02:15:00+00:00,2020-08-26 02:30:00+00:00,2020-08-26 00:00:00+00:00,-1.1651348847813279,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-0.9784007544426738,0
2020-08-26 13:30:00+00:00,2020-08-26 13:45:00+00:00,2020-08-26 00:00:00+00:00,-1.0964905192490886,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-0.9097563889104345,0
2020-08-27 13:00:00+00:00,2020-08-27 13:15:00+00:00,2020-08-27 00:00:00+00:00,-1.1034508968301098,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-0.9167167664914557,0
2020-08-28 00:45:00+00:00,2020-08-28 01:00:00+00:00,2020-08-28 00:00:00+00:00,-1.1098152115829065,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-0.9230810812442525,0
2020-09-01 00:00:00+00:00,2020-09-01 00:15:00+00:00,2020-09-01 00:00:00+00:00,0.8381189248295973,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,1.0248530551682513,0
2020-09-01 01:00:00+00:00,2020-09-01 01:15:00+00:00,2020-09-01 00:00:00+00:00,-1.170138636925087,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-0.983404506586433,0
2020-09-02 09:00:00+00:00,2020-09-02 09:15:00+00:00,2020-09-02 00:00:00+00:00,0.8737702460642154,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,1.0605043764028694,0
2020-09-03 13:15:00+00:00,2020-09-03 13:30:00+00:00,2020-09-03 00:00:00+00:00,0.8955145942015892,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,1.0822487245402432,0
2020-09-03 14:45:00+00:00,2020-09-03 15:00:00+00:00,2020-09-03 00:00:00+00:00,0.912648391672248,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,1.0993825220109021,0
2020-09-04 13:30:00+00:00,2020-09-04 13:45:00+00:00,2020-09-04 00:00:00+00:00,0.9177108335830495,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,1.1044449639217035,0
2020-09-08 05:45:00+00:00,2020-09-08 06:00:00+00:00,2020-09-08 00:00:00+00:00,-1.2339305328981351,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-1.047196402559481,0
2020-09-09 03:45:00+00:00,2020-09-09 04:00:00+00:00,2020-09-09 00:00:00+00:00,-1.1770469478401795,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-0.9903128175015254,0
2020-09-09 05:00:00+00:00,2020-09-09 05:15:00+00:00,2020-09-09 00:00:00+00:00,-1.2160309223577743,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-1.0292967920191203,0
2020-09-10 01:15:00+00:00,2020-09-10 01:30:00+00:00,2020-09-10 00:00:00+00:00,0.8120610972652452,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,0.9987952276038993,0
2020-09-10 09:45:00+00:00,2020-09-10 10:00:00+00:00,2020-09-10 00:00:00+00:00,-1.175294007762554,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-0.9885598774239,0
2020-09-11 05:30:00+00:00,2020-09-11 05:45:00+00:00,2020-09-11 00:00:00+00:00,0.8082835253202767,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,0.9950176556589307,0
2020-09-17 00:00:00+00:00,2020-09-17 00:15:00+00:00,2020-09-17 00:00:00+00:00,0.8475007044578939,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,1.034234834796548,0
2020-09-20 22:45:00+00:00,2020-09-20 23:00:00+00:00,2020-09-20 00:00:00+00:00,0.8139218784804408,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,1.000656008819095,0
2020-09-21 00:15:00+00:00,2020-09-21 00:30:00+00:00,2020-09-21 00:00:00+00:00,-1.2014959416581314,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-1.0147618113194774,0
2020-09-22 00:00:00+00:00,2020-09-22 00:15:00+00:00,2020-09-22 00:00:00+00:00,0.8646646183176763,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,1.0513987486563303,0
2020-09-25 03:15:00+00:00,2020-09-25 03:30:00+00:00,2020-09-25 00:00:00+00:00,-1.149494456957265,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-0.9627603266186109,0
2020-09-25 06:30:00+00:00,2020-09-25 06:45:00+00:00,2020-09-25 00:00:00+00:00,-1.1586913784632906,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-0.9719572481246366,0
2020-09-30 12:45:00+00:00,2020-09-30 13:00:00+00:00,2020-09-30 00:00:00+00:00,0.8786956875788086,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,1.0654298179174626,0
2020-09-30 15:00:00+00:00,2020-09-30 15:15:00+00:00,2020-09-30 00:00:00+00:00,0.9015700213140048,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,1.0883041516526588,0
2020-10-01 01:30:00+00:00,2020-10-01 01:45:00+00:00,2020-10-01 00:00:00+00:00,0.8193944085082329,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,1.006128538846887,0
2020-10-01 02:15:00+00:00,2020-10-01 02:30:00+00:00,2020-10-01 00:00:00+00:00,-1.1788174173185813,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-0.9920832869799272,0
2020-10-02 05:15:00+00:00,2020-10-02 05:30:00+00:00,2020-10-02 00:00:00+00:00,0.8519856861809257,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,1.03871981651958,0
2020-10-05 09:00:00+00:00,2020-10-05 09:15:00+00:00,2020-10-05 00:00:00+00:00,0.8281599767056622,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,1.0148941070443163,0
2020-10-05 10:45:00+00:00,2020-10-05 11:00:00+00:00,2020-10-05 00:00:00+00:00,-1.1879389027347549,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-1.0012047723961008,0
2020-10-07 01:45:00+00:00,2020-10-07 02:00:00+00:00,2020-10-07 00:00:00+00:00,-1.1165710599377676,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-0.9298369295991136,0
2020-10-12 01:30:00+00:00,2020-10-12 01:45:00+00:00,2020-10-12 00:00:00+00:00,0.8591694591264935,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,1.0459035894651476,0
2020-10-12 04:45:00+00:00,2020-10-12 05:00:00+00:00,2020-10-12 00:00:00+00:00,-1.175294007762554,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-0.9885598774239,0
2020-10-12 05:30:00+00:00,2020-10-12 05:45:00+00:00,2020-10-12 00:00:00+00:00,-1.1842357638807517,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-0.9975016335420976,0
2020-10-14 01:45:00+00:00,2020-10-14 02:00:00+00:00,2020-10-14 00:00:00+00:00,-1.1540242884975271,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-0.9672901581588731,0
2020-10-15 00:00:00+00:00,2020-10-15 00:15:00+00:00,2020-10-15 00:00:00+00:00,0.7839690776422257,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,0.9707032079808797,0
2020-10-15 04:15:00+00:00,2020-10-15 04:30:00+00:00,2020-10-15 00:00:00+00:00,-1.1898182917621023,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-1.0030841614234483,0
2020-10-16 10:45:00+00:00,2020-10-16 11:00:00+00:00,2020-10-16 00:00:00+00:00,-1.2181912315813521,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-1.031457101242698,0
2020-10-18 22:00:00+00:00,2020-10-18 22:15:00+00:00,2020-10-18 00:00:00+00:00,-1.2293211772356976,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-1.0425870468970435,0
2020-10-22 07:30:00+00:00,2020-10-22 07:45:00+00:00,2020-10-22 00:00:00+00:00,0.7839690776422257,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,0.9707032079808797,0
2020-10-23 16:45:00+00:00,2020-10-23 17:00:00+00:00,2020-10-23 00:00:00+00:00,-1.1287669719898938,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-0.9420328416512398,0
2020-10-26 00:15:00+00:00,2020-10-26 00:30:00+00:00,2020-10-26 00:00:00+00:00,-1.1718400232943378,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-0.9851058929556837,0
2020-10-26 02:15:00+00:00,2020-10-26 02:30:00+00:00,2020-10-26 00:00:00+00:00,0.824705992237446,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,1.0114401225761,0
2020-10-29 00:15:00+00:00,2020-10-29 00:30:00+00:00,2020-10-29 00:00:00+00:00,0.8004990676652164,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,0.9872331980038704,0
2020-10-29 03:00:00+00:00,2020-10-29 03:15:00+00:00,2020-10-29 00:00:00+00:00,-1.2339305328981351,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-1.047196402559481,0
2020-11-01 23:00:00+00:00,2020-11-01 23:15:00+00:00,2020-11-01 00:00:00+00:00,0.8229530521598205,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,1.0096871824984746,0
2020-11-06 08:00:00+00:00,2020-11-06 08:15:00+00:00,2020-11-06 00:00:00+00:00,0.8605638209173202,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,1.0472979512559744,0
2020-11-09 03:45:00+00:00,2020-11-09 04:00:00+00:00,2020-11-09 00:00:00+00:00,-1.1860781215195593,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-0.9993439911809052,0
2020-11-09 08:00:00+00:00,2020-11-09 08:15:00+00:00,2020-11-09 00:00:00+00:00,-1.1667862336291412,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-0.9800521032904872,0
2020-11-15 23:15:00+00:00,2020-11-15 23:30:00+00:00,2020-11-15 00:00:00+00:00,0.7729493294696064,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,0.9596834598082604,0
