Date,Pair,Bot,Dir,Lots,Entry,Close,PnL,Swap,Net,Opened,Closed,Duration
06-10,XAUUSD,Regime V2,SELL,0.36,4153.41000,4168.07000,-393.96,0.00,-393.96,2026-06-10 14:45 UTC,2026-06-10 15:30 UTC,45m
06-10,EURGBP,Regime V2,BUY,2.50,0.86236,0.86229,-17.50,0.00,-17.50,2026-06-10 14:51 UTC,2026-06-10 15:31 UTC,40m
06-10,AUDJPY,Regime V2,BUY,2.85,112.41200,112.51400,+135.31,0.00,+135.31,2026-06-10 15:10 UTC,2026-06-10 15:31 UTC,21m
06-10,EURJPY,Regime V2,SELL,3.07,185.43600,185.32700,+155.71,0.00,+155.71,2026-06-10 13:25 UTC,2026-06-10 15:38 UTC,2h 12m
06-10,EURGBP,Regime V2,SELL,3.06,0.86235,0.86246,-33.66,0.00,-33.66,2026-06-10 15:38 UTC,2026-06-10 15:40 UTC,2m
06-10,EURJPY,Regime V2,BUY,3.25,185.38900,185.33400,-83.17,0.00,-83.17,2026-06-10 15:41 UTC,2026-06-10 15:54 UTC,12m
06-10,XAUUSD,Regime V2,BUY,0.48,4155.07000,4154.28000,-28.31,0.00,-28.31,2026-06-10 15:51 UTC,2026-06-10 16:06 UTC,14m
06-10,USDJPY,Regime V2,SELL,2.94,160.49500,160.43300,+84.82,0.00,+84.82,2026-06-10 15:08 UTC,2026-06-10 16:12 UTC,1h 3m
06-10,EURJPY,Regime V2,BUY,3.32,185.31000,185.35100,+63.35,0.00,+63.35,2026-06-10 15:56 UTC,2026-06-10 16:13 UTC,17m
06-10,GBPUSD,Regime V2,BUY,3.08,1.33860,1.33931,+163.28,0.00,+163.28,2026-06-10 15:23 UTC,2026-06-10 16:13 UTC,50m
06-10,GBPJPY,Regime V2,BUY,3.08,214.86800,214.90100,+47.30,0.00,+47.30,2026-06-10 15:35 UTC,2026-06-10 16:14 UTC,39m
06-10,EURCHF,Regime V2,SELL,2.83,0.92173,0.92183,-26.48,0.00,-26.48,2026-06-10 15:44 UTC,2026-06-10 16:16 UTC,32m
06-10,EURUSD,Regime V2,BUY,2.60,1.15412,1.15556,+279.47,0.00,+279.47,2026-06-10 15:22 UTC,2026-06-10 16:18 UTC,55m
06-10,USDCHF,Regime V2,SELL,2.92,0.79904,0.79775,+352.39,0.00,+352.39,2026-06-10 15:22 UTC,2026-06-10 16:23 UTC,1h 0m
