Year,Month,Date,IFO_Level,DAX_Price,DAX_Return,IFO_Previous,IFO_Direction,Position,Strategy_Return,Cum_Strategy,Cum_BuyHold
2015,9,2015-09-01,99.2,9660.44,-5.838708859920494,100.3,-1.0999999999999943,-1,5.838708859920494,1.7923785106900332,0.7025351814809242
2015,10,2015-10-01,101.0,10850.14,12.315174050043254,99.2,1.7999999999999972,1,12.315174050043254,2.1362647844175164,0.9122053523435198
2015,11,2015-11-01,101.6,11382.23,4.903992022222758,101.0,0.5999999999999943,1,4.903992022222758,2.290066959241133,1.0059797502709626
2015,12,2015-12-01,100.8,10743.01,-5.615946962941354,101.6,-0.7999999999999972,-1,5.615946962941354,2.474835374717373,0.893324991408402
2016,1,2016-01-01,99.3,9798.11,-8.795486553582277,100.8,-1.5,-1,8.795486553582277,2.78046405285976,0.7267978463734632
2016,2,2016-02-01,97.6,9495.4,-3.0894733780290395,99.3,-1.7000000000000028,-1,3.0894733780290395,2.8972604833388194,0.6734488866173762
2016,3,2016-03-01,98.8,9965.51,4.950923605114066,97.6,1.2000000000000028,1,4.950923605114066,3.090210872561223,0.7563000625644345
2016,4,2016-04-01,99.9,10038.97,0.7371424041519026,98.8,1.1000000000000085,1,0.7371424041519026,3.1203615513221035,0.7692464950697433
2016,5,2016-05-01,99.4,10262.74,2.229013534256996,99.9,-0.5,-1,-2.229013534256996,3.0285181346828125,0.8086832388992153
2016,6,2016-06-01,99.0,9680.09,-5.677333733486378,99.4,-0.4000000000000057,-1,5.677333733486378,3.257230553702776,0.7059982552452762
2016,7,2016-07-01,100.1,10337.5,6.791362477001761,99.0,1.0999999999999943,1,6.791362477001761,3.546354512086401,0.8218587806103086
2016,8,2016-08-01,99.8,10592.69,2.4685852478839143,100.1,-0.29999999999999716,-1,-2.4685852478839143,3.4341238752845316,0.8668329177057323
2016,9,2016-09-01,101.0,10511.02,-0.7710033995141918,99.8,1.2000000000000028,1,-0.7710033995141918,3.399936629467417,0.8524395724469711
2016,10,2016-10-01,101.9,10665.01,1.4650338406738905,101.0,0.9000000000000057,1,1.4650338406738905,3.464397190057321,0.8795784390613539
2016,11,2016-11-01,101.0,10640.3,-0.23169223470020928,101.9,-0.9000000000000057,-1,0.23169223470020928,3.474740851672858,0.8752236017729493
2016,12,2016-12-01,100.2,11481.06,7.901656908169885,101.0,-0.7999999999999972,-1,-7.901656908169885,3.1211621820439497,1.0233973370460738
2017,1,2017-01-01,100.7,11535.31,0.4725173459593446,100.2,0.5,1,0.4725173459593446,3.1406353882092244,1.032958240441296
2017,2,2017-02-01,100.0,11834.41,2.592908209662337,100.7,-0.7000000000000028,-1,-2.592908209662337,3.033272513296163,1.0856709815567052
2017,3,2017-03-01,100.4,12312.87,4.04295609160068,100.0,0.4000000000000057,1,4.04295609160068,3.196335950063326,1.1699937435562995
2017,4,2017-04-01,102.2,12438.01,1.0163349405946764,100.4,1.7999999999999972,1,1.0163349405946764,3.2389847785485557,1.1920481481807808
2017,5,2017-05-01,101.0,12615.06,1.423459218958656,102.2,-1.2000000000000028,-1,-1.423459218958656,3.1786445589280525,1.2232510596300727
2017,6,2017-06-01,100.7,12325.12,-2.2983640188790067,101.0,-0.29999999999999716,-1,2.2983640188790067,3.2746850219473,1.172152657226189
2017,7,2017-07-01,101.0,12118.25,-1.6784420760203589,100.7,0.29999999999999716,1,-1.6784420760203589,3.202936909921596,1.1356943330719105
2017,8,2017-08-01,101.6,12055.84,-0.5150083551667906,101.0,0.5999999999999943,1,-0.5150083551667906,3.1812914336731106,1.1246953288157666
2017,9,2017-09-01,101.9,12828.86,6.41199617778605,101.6,0.30000000000001137,1,6.41199617778605,3.4493956805823256,1.2609307120890323
2017,10,2017-10-01,102.4,13229.57,3.123504348788586,101.9,0.5,1,3.123504348788586,3.5883727481601264,1.3315509812042299
2017,11,2017-11-01,103.4,13023.98,-1.5540187625145752,102.4,1.0,1,-1.5540187625145752,3.5170685747596124,1.2953182414987237
2017,12,2017-12-01,102.5,12917.64,-0.8164938828223001,103.4,-0.9000000000000057,-1,0.8164938828223001,3.553950163355413,1.2765771084655824
2018,1,2018-01-01,101.7,13189.48,2.104409164522303,102.5,-0.7999999999999972,-1,-2.104409164522303,3.4581164187699835,1.3244856057735488
2018,2,2018-02-01,100.6,12435.85,-5.71387196462635,101.7,-1.1000000000000085,-1,5.71387196462635,3.712847482972486,1.191667474423479
2018,3,2018-03-01,101.0,12096.73,-2.7269547316830067,100.6,0.4000000000000057,1,-2.7269547316830067,3.584330265538564,1.1319016945269307
2018,4,2018-04-01,100.6,12612.11,4.260490231657665,101.0,-0.4000000000000057,-1,-4.260490231657665,3.3890153223883672,1.2227311579707947
2018,5,2018-05-01,99.1,12604.89,-0.05724656698998798,100.6,-1.5,-1,0.05724656698998798,3.391527882985099,1.2214587206894394
2018,6,2018-06-01,97.6,12306.0,-2.371222596944511,99.1,-1.5,-1,2.371222596944511,3.495660784497561,1.168782989522657
2018,7,2018-07-01,97.5,12805.5,4.058995611896643,97.6,-0.09999999999999432,-1,-4.058995611896643,3.3131821105290467,1.2568137958989425
2018,8,2018-08-01,100.6,12364.06,-3.4472687517082545,97.5,3.0999999999999943,1,-3.4472687517082545,3.1644951314285086,1.1790153591286772
2018,9,2018-09-01,100.4,12246.73,-0.9489601312190343,100.6,-0.19999999999998863,-1,0.9489601312190343,3.204014529892323,1.1583373721174066
2018,10,2018-10-01,99.6,11447.51,-6.525986936921113,100.4,-0.8000000000000114,-1,6.525986936921113,3.478367968939361,1.0174845571583382
2018,11,2018-11-01,98.6,11257.24,-1.662108178983901,99.6,-1.0,-1,1.662108178983901,3.552803289236098,0.9839517813240723
2018,12,2018-12-01,97.3,10558.96,-6.2029413959372,98.6,-1.2999999999999972,-1,6.2029413959372,3.835211009139715,0.8608884150048879
2019,1,2019-01-01,94.5,11173.1,5.816292513656651,97.3,-2.799999999999997,-1,-5.816292513656651,3.553980993195619,0.9691231285743211
2019,2,2019-02-01,94.0,11515.64,3.065756146458898,94.5,-0.5,-1,-3.065756146458898,3.4143670409881546,1.029491641919932
2019,3,2019-03-01,95.8,11526.04,0.0903119583453682,94.0,1.7999999999999972,1,0.0903119583453682,3.4183537423114236,1.0313245155662054
2019,4,2019-04-01,97.0,12344.08,7.097320502097859,95.8,1.2000000000000028,1,7.097320502097859,3.7319384683197,1.1754941268736259
2019,5,2019-05-01,95.3,11726.84,-5.000291637772925,97.0,-1.7000000000000028,-1,5.000291637772925,3.968549191855651,1.0667130759673227
2019,6,2019-06-01,92.6,12398.8,5.730102909223622,95.3,-2.700000000000003,-1,-5.730102909223622,3.683846210066924,1.1851378620586313
2019,7,2019-07-01,91.2,12189.04,-1.6917766235442055,92.6,-1.3999999999999915,-1,1.6917766235442055,3.763086425331597,1.1481702105161098
2019,8,2019-08-01,91.0,11939.28,-2.0490539041630895,91.2,-0.20000000000000284,-1,2.0490539041630895,3.8606846336885168,1.1041530449494612
2019,9,2019-09-01,90.9,12428.08,4.094049222398666,91.0,-0.09999999999999432,-1,-4.094049222398666,3.6616858122397407,1.1902981063242923
2019,10,2019-10-01,92.0,12866.79,3.5299901513347276,90.9,1.0999999999999943,1,3.5299901513347276,3.8262428622979714,1.2676154137624107
2019,11,2019-11-01,92.4,13236.38,2.8724336062063482,92.0,0.4000000000000057,1,2.8724336062063482,3.9648734841917532,1.3327511609668372
2019,12,2019-12-01,94.0,13249.01,0.09541883808110718,92.4,1.5999999999999943,1,0.09541883808110718,3.969610908782566,1.3349770450199552
2020,1,2020-01-01,92.7,12981.97,-2.015546821988967,94.0,-1.2999999999999972,-1,2.015546821988967,4.06977574351975,1.2879144893948835
2020,2,2020-02-01,93.1,11890.35,-8.408739197517779,92.7,0.3999999999999915,1,-8.408739197517779,3.643471523348156,1.0955297269194473
2020,3,2020-03-01,80.1,9935.84,-16.437783580802922,93.1,-13.0,-1,16.437783580802922,4.406755322992338,0.7510710855370379
2020,4,2020-04-01,71.0,10861.64,9.317782895054671,80.1,-9.099999999999994,-1,-9.317782895054671,3.9029656003291002,0.9142320876254562
2020,5,2020-05-01,80.4,11586.85,6.676800188553478,71.0,9.400000000000006,1,6.676800188553478,4.230326816776586,1.0420415392613838
2020,6,2020-06-01,89.9,12310.93,6.2491531348036755,80.4,9.5,1,6.2491531348036755,4.557177949007657,1.1696518421261297
2020,7,2020-07-01,94.8,12313.36,0.019738557525705858,89.9,4.8999999999999915,1,0.019738557525705858,4.558274855773927,1.1700801001030952
2020,8,2020-08-01,96.6,12945.38,5.132798846131337,94.8,1.7999999999999972,1,5.132798846131337,4.8435699234359,1.2814659464413127
2020,9,2020-09-01,97.7,12760.73,-1.4263775957136793,96.6,1.1000000000000085,1,-1.4263775957136793,4.760218551258147,1.2489236273274367
2020,10,2020-10-01,95.4,11556.48,-9.437156024772875,97.7,-2.299999999999997,-1,9.437156024772875,5.30381936330829,1.0366891957385649
2020,11,2020-11-01,93.0,13291.16,15.01045300991306,95.4,-2.4000000000000057,-1,-15.01045300991306,4.3575875199490985,1.3424054704228783
2020,12,2020-12-01,94.7,13718.78,3.2173264034140114,93.0,1.7000000000000028,1,3.2173264034140114,4.529958597814435,1.4177683000978076
2021,1,2021-01-01,91.8,13432.87,-2.0840774471199364,94.7,-2.9000000000000057,-1,2.0840774471199364,4.645207217786555,1.367380136231854
2021,2,2021-02-01,94.5,13786.29,2.631008861099682,91.8,2.700000000000003,1,2.631008861099682,4.793733119913958,1.4296661173920278
2021,3,2021-03-01,99.1,15008.34,8.86424121355347,94.5,4.599999999999994,1,8.86424121355347,5.307303598932669,1.6450375827216361
2021,4,2021-04-01,97.8,15135.91,0.8499940699637554,99.1,-1.2999999999999972,-1,-0.8499940699637554,5.25369189236713,1.6675202453230829
2021,5,2021-05-01,100.8,15421.13,1.8843928115322983,97.8,3.0,1,1.8843928115322983,5.371536012842275,1.71778680507212
2021,6,2021-06-01,102.0,15531.04,0.7127233866778937,100.8,1.2000000000000028,1,0.7127233866778937,5.416947440096406,1.7371571072319147
2021,7,2021-07-01,100.9,15544.39,0.08595689664052664,102.0,-1.0999999999999943,-1,-0.08595689664052664,5.411431631217845,1.739509882537467
2021,8,2021-08-01,98.5,15835.09,1.8701280654950247,100.9,-2.4000000000000057,-1,-1.8701280654950247,5.291529648882415,1.79074222570781
2021,9,2021-09-01,99.2,15260.69,-3.6273870246395834,98.5,0.7000000000000028,1,-3.6273870246395834,5.063311518747502,1.689511204321347
2021,10,2021-10-01,97.0,15688.77,2.8051156271439837,99.2,-2.200000000000003,-1,-2.8051156271439837,4.893228619812695,1.7649551034075532
2021,11,2021-11-01,95.0,15100.13,-3.7519831063875686,97.0,-2.0,-1,3.7519831063875686,5.114341562048864,1.6612144550285008
2021,12,2021-12-01,93.4,15884.86,5.196842676188895,95.0,-1.5999999999999943,-1,-5.196842676188895,4.796588850384354,1.7995135835323297
